t_center,centroid,bandwidth,spectral_kurtosis,E_low,E_tremor,E_beta,E_gamma,E_high
1.0,63.958951087239264,21.74273249901629,6.35768218773411,0.0009637714484250968,0.0006220906459339199,0.01938330483962741,0.9320016548035783,0.04584200209830564
1.5,64.45824060666374,21.988299004306437,5.528104402779734,0.0009828821830152514,0.0006709224342883446,0.01770463120600446,0.9322161924921937,0.04716199394161396
2.0,69.20403253162294,29.681591594536552,3.9186798126343882,0.000677200660375873,0.0007679908418091627,0.05019864927494895,0.8563038774262508,0.0884479823351272
4.5,78.11479435725853,31.20290967432242,3.424564889550126,0.0028112337413706873,0.00021139602654714253,0.03465295461280004,0.7903055660906597,0.1685109572573962
