t_center,centroid,bandwidth,spectral_kurtosis,E_low,E_tremor,E_beta,E_gamma,E_high
1.0,80.24522926224792,38.27881004996702,0.9031058087813246,0.001150957592068312,0.0007941853852545005,0.036734114643540025,0.676632094324334,0.27757078966075366
1.5,79.83291303609349,37.00882043782107,0.9858927771320687,0.0008368927943708126,0.0006629333588165821,0.03528056076527997,0.6946270521226718,0.2629301419345831
2.0,78.30112332311292,44.535262781707345,0.8371350342982034,0.001232961514616399,0.0003578255616675348,0.07815844063923466,0.6469395968748204,0.2604295528442192
2.5,105.15445754132571,46.175635649388724,0.024814189400187647,0.019400288220205675,0.002148257634639421,0.03304312094856778,0.47111861341567096,0.44375867095106075
4.5,95.89798160021955,47.79872965637765,0.12327645109502017,0.007024531569650066,0.00046420314081243924,0.06450048494314116,0.5523079459814014,0.3483443302116716
